Date,Value
2016-12-01,1272.43
2016-11-30,1275.34
2016-11-29,1280.83
2016-11-26,1286.43
2016-11-25,1286.43
2016-11-24,1286.43
2016-11-23,1309.05
2016-11-22,1307.96
2016-11-19,1306.89
2016-11-18,1319.81
2016-11-17,1320.88
2016-11-16,1317.66
2016-11-15,1311.2
2016-11-12,1355.35
2016-11-11,1376.67
2016-11-10,1403.81
2016-11-09,1380.65
2016-11-08,1386.58
2016-11-04,1405.96
2016-11-03,1393.04
2016-11-02,1397.89
2016-11-01,1387.65
2016-10-31,1372.03
2016-10-28,1370.1
2016-10-27,1368.54
2016-10-26,1370.69
2016-10-25,1365.47
2016-10-24,1368.81
2016-10-21,1365.04
2016-10-20,1369.35
2016-10-19,1368.27
2016-10-18,1356.42
2016-10-17,1349.96
2016-10-14,1348.08
2016-10-13,1355.89
2016-10-12,1352.61
2016-10-11,1353.2
2016-10-10,1358.84
2016-10-07,1359.66
2016-10-06,1353.74
2016-10-05,1370.42
2016-10-04,1393.04
2016-10-03,1414.57
2016-09-30,1430.73
2016-09-29,1419.96
2016-09-28,1427.49
2016-09-27,1431.8
2016-09-26,1444.72
2016-09-23,1439.34
2016-09-22,1440.41
2016-09-21,1426.96
2016-09-20,1415.65
2016-09-19,1416.73
2016-09-16,1411.35
2016-09-15,1419.42
2016-09-14,1422.11
2016-09-13,1429.65
2016-09-12,1427.49
2016-09-09,1438.26
2016-09-08,1447.41
2016-09-07,1454.96
2016-09-06,1437.73
2016-09-05,1425.34
2016-09-02,1425.34
2016-09-01,1410.27
2016-08-31,1408.65
2016-08-30,1419.96
2016-08-29,1422.11
2016-08-26,1431.8
2016-08-25,1423.19
2016-08-24,1432.88
2016-08-23,1449.04
2016-08-22,1445.8
2016-08-19,1445.8
2016-08-18,1454.42
2016-08-17,1451.19
2016-08-16,1451.19
2016-08-15,1441.49
2016-08-12,1457.65
2016-08-11,1451.19
2016-08-10,1456.57
2016-08-09,1439.34
2016-08-08,1440.41
2016-08-05,1451.72
2016-08-04,1468.96
2016-08-03,1465.72
2016-08-02,1468.96
2016-08-01,1452.8
2016-07-29,1451.19
2016-07-28,1444.72
2016-07-27,1435.03
2016-07-26,1424.27
2016-07-25,1423.19
2016-07-22,1426.42
2016-07-21,1418.88
2016-07-19,1433.42
2016-07-15,1431.8
2016-07-14,1424.27
2016-07-13,1444.72
2016-07-12,1450.11
2016-07-11,1458.72
2016-07-08,1457.65
2016-07-07,1464.11
2016-07-06,1475.95
2016-07-05,1453.34
2016-07-04,1439.34
2016-07-01,1439.34
2016-06-30,1422.11
2016-06-29,1424.27
2016-06-28,1416.73
2016-06-27,1429.65
2016-06-24,1432.88
2016-06-23,1361.81
2016-06-22,1365.04
2016-06-21,1373.66
2016-06-20,1381.19
2016-06-17,1393.04
2016-06-16,1414.57
2016-06-15,1383.34
2016-06-14,1388.73
2016-06-13,1386.58
2016-06-10,1372.58
2016-06-09,1357.5
2016-06-08,1355.89
2016-06-07,1334.89
2016-06-06,1341.35
2016-06-03,1335.97
2016-06-02,1305.81
2016-06-01,1306.35
2016-05-31,1306.35
2016-05-30,1310.12
2016-05-27,1310.12
2016-05-26,1326.81
2016-05-25,1316.58
2016-05-24,1335.97
2016-05-23,1355.35
2016-05-20,1355.35
2016-05-19,1342.43
2016-05-18,1366.12
2016-05-17,1372.58
2016-05-16,1385.5
2016-05-13,1367.2
2016-05-12,1373.66
2016-05-11,1373.66
2016-05-10,1359.66
2016-05-09,1371.5
2016-05-06,1385.5
2016-05-05,1382.27
2016-05-04,1384.42
2016-05-03,1395.19
2016-05-02,1395.19
2016-04-29,1384.42
2016-04-28,1354.27
2016-04-27,1346.74
2016-04-26,1339.19
2016-04-25,1330.58
2016-04-22,1339.19
2016-04-21,1368.27
2016-04-20,1347.81
2016-04-19,1351.04
2016-04-18,1334.89
2016-04-15,1323.05
2016-04-14,1330.58
2016-04-13,1343.5
2016-04-12,1357.5
2016-04-11,1347.81
2016-04-08,1328.43
2016-04-07,1332.73
2016-04-06,1314.96
2016-04-05,1330.58
2016-04-04,1316.58
2016-04-01,1312.27
2016-03-31,1334.89
2016-03-30,1328.43
2016-03-29,1324.12
2016-03-28,1317.66
2016-03-24,1316.58
2016-03-23,1316.58
2016-03-22,1348.89
2016-03-21,1341.35
2016-03-18,1351.04
2016-03-17,1365.04
2016-03-16,1324.12
2016-03-15,1327.35
2016-03-14,1348.89
2016-03-11,1365.04
2016-03-10,1361.81
2016-03-09,1347.81
2016-03-08,1370.42
2016-03-07,1368.27
2016-03-04,1361.81
2016-03-03,1338.12
2016-03-02,1330.58
2016-03-01,1337.04
2016-02-29,1326.27
2016-02-26,1321.97
2016-02-25,1321.97
2016-02-24,1341.35
2016-02-23,1314.42
2016-02-22,1301.5
2016-02-19,1323.05
2016-02-18,1300.43
2016-02-17,1301.5
2016-02-16,1306.89
2016-02-12,1332.73
2016-02-11,1335.96
2016-02-10,1279.97
2016-02-09,1288.58
2016-02-08,1276.73
2016-02-05,1236.9
2016-02-04,1244.43
2016-02-03,1216.44
2016-02-02,1215.36
2016-02-01,1209.98
2016-01-29,1200.28
2016-01-28,1206.74
2016-01-27,1204.59
2016-01-26,1200.28
2016-01-25,1192.74
2016-01-22,1178.75
2016-01-21,1185.21
2016-01-20,1185.21
2016-01-19,1172.29
2016-01-15,1178.75
2016-01-14,1167.98
2016-01-13,1169.05
2016-01-12,1171.21
2016-01-11,1188.44
2016-01-08,1187.9
2016-01-07,1188.47
2016-01-06,1172.29
2016-01-05,1158.83
2016-01-04,1161.52
2015-12-31,1143.75
2015-12-30,1143.2
2015-12-29,1155.06
2015-12-28,1153.98
2015-12-23,1152.9
2015-12-22,1156.13
2015-12-21,1156.13
2015-12-18,1141.06
2015-12-17,1142.13
2015-12-16,1157.22
2015-12-15,1145.37
2015-12-14,1155.59
2015-12-11,1146.44
2015-12-10,1155.59
2015-12-09,1167.98
2015-12-08,1158.29
2015-12-07,1164.75
2015-12-04,1156.13
2015-12-03,1136.75
2015-12-02,1141.06
2015-12-01,1151.83
2015-11-30,1144.29
2015-11-25,1160.44
2015-11-24,1160.44
2015-11-23,1155.06
2015-11-20,1165.83
2015-11-19,1155.06
2015-11-18,1151.29
2015-11-17,1162.59
2015-11-16,1170.14
2015-11-13,1164.75
2015-11-12,1158.29
2015-11-11,1172.29
2015-11-10,1172.29
2015-11-09,1175.51
2015-11-06,1169.05
2015-11-05,1197.05
2015-11-04,1206.74
2015-11-03,1212.13
2015-11-02,1223.97
2015-10-30,1232.58
2015-10-29,1241.21
2015-10-28,1265.97
2015-10-27,1253.05
2015-10-26,1256.28
2015-10-23,1263.81
2015-10-22,1256.28
2015-10-21,1265.97
2015-10-20,1263.81
2015-10-19,1267.59
2015-10-16,1274.58
2015-10-15,1273.51
2015-10-14,1264.9
2015-10-13,1253.05
2015-10-12,1255.2
2015-10-09,1243.36
2015-10-08,1227.75
2015-10-07,1235.82
2015-10-06,1232.58
2015-10-05,1223.97
2015-10-02,1222.9
2015-10-01,1202.44
2015-09-30,1201.37
2015-09-29,1217.51
