Date,Value
2016-11-29,165.5
2016-11-28,167.5
2016-11-23,169.0
2016-11-22,171.5
2016-11-21,174.0
2016-11-17,166.75
2016-11-16,167.0
2016-11-15,170.25
2016-11-14,170.5
2016-11-11,175.5
2016-11-10,179.0
2016-11-09,183.0
2016-11-08,186.0
2016-11-07,186.0
2016-11-04,186.0
2016-11-03,180.0
2016-11-02,175.75
2016-11-01,173.0
2016-10-31,173.0
2016-10-28,159.75
2016-10-27,155.0
2016-10-26,155.75
2016-10-25,156.0
2016-10-24,156.0
2016-10-21,157.0
2016-10-20,157.5
2016-10-19,159.0
2016-10-18,161.0
2016-10-17,149.0
2016-10-14,146.0
2016-10-13,144.75
2016-10-12,145.75
2016-10-11,147.0
2016-10-10,149.0
2016-10-07,151.0
2016-10-06,148.0
2016-10-05,145.0
2016-09-30,151.0
2016-09-29,147.5
2016-09-28,148.0
2016-09-27,146.0
2016-09-26,148.0
2016-09-23,151.0
2016-09-22,151.0
2016-09-21,151.0
2016-09-20,150.75
2016-09-16,148.0
2016-09-15,152.0
2016-09-14,152.75
2016-09-13,155.0
2016-09-12,157.0
2016-09-09,160.5
2016-09-08,162.0
2016-09-07,166.0
2016-09-06,165.25
2016-09-02,164.0
2016-09-01,163.0
2016-08-31,162.5
2016-08-30,162.5
2016-08-29,164.25
2016-08-26,168.0
2016-08-25,175.0
2016-08-24,178.0
2016-08-23,186.5
2016-08-22,186.5
2016-08-19,186.5
2016-08-18,186.5
2016-08-17,186.5
2016-08-16,186.5
2016-08-15,186.5
2016-08-12,186.5
2016-08-11,188.0
2016-08-10,188.0
2016-08-09,188.0
2016-08-08,188.0
2016-08-05,188.0
2016-08-04,185.5
2016-08-03,180.0
2016-08-02,180.0
2016-08-01,177.5
2016-07-29,177.5
2016-07-28,177.5
2016-07-27,177.5
2016-07-26,177.5
2016-07-25,177.5
2016-07-22,177.5
2016-07-21,175.5
2016-07-20,175.5
2016-07-19,175.5
2016-07-18,174.5
2016-07-15,174.5
2016-07-14,173.5
2016-07-08,172.0
2016-07-07,169.0
2016-07-06,167.0
2016-07-05,167.0
2016-07-01,167.0
2016-06-30,171.0
2016-06-29,166.0
2016-06-28,156.0
2016-06-27,154.25
2016-06-24,153.5
2016-06-23,153.5
2016-06-22,154.0
2016-06-21,154.5
2016-06-20,154.5
2016-06-17,154.5
2016-06-16,155.0
2016-06-15,155.5
2016-06-14,153.75
2016-06-13,153.75
2016-06-10,151.0
2016-06-09,150.5
2016-06-08,150.5
2016-06-07,147.5
2016-06-03,144.5
2016-06-02,143.0
2016-06-01,140.5
2016-05-31,142.0
2016-05-27,144.0
2016-05-25,139.25
2016-05-23,136.0
2016-05-20,135.5
2016-05-19,138.0
2016-05-18,136.25
2016-05-17,135.0
2016-05-16,133.0
2016-05-13,132.0
2016-05-12,127.0
2016-05-11,130.0
2016-05-10,129.0
2016-05-09,128.0
2016-05-06,130.0
2016-05-05,131.5
2016-05-04,135.25
2016-05-03,137.0
2016-05-02,140.0
2016-04-29,141.25
2016-04-28,141.5
2016-04-27,138.0
2016-04-26,138.0
2016-04-25,142.5
2016-04-22,142.5
2016-04-21,142.5
2016-04-20,145.0
2016-04-19,142.0
2016-04-18,142.0
2016-04-15,141.0
2016-04-14,142.25
2016-04-13,142.75
2016-04-12,143.5
2016-04-11,141.5
2016-04-08,141.75
2016-04-07,141.75
2016-04-06,144.25
2016-04-05,144.25
2016-04-04,144.75
2016-04-01,145.5
2016-03-31,145.25
2016-03-30,145.25
2016-03-29,144.25
2016-03-28,144.25
2016-03-24,145.0
2016-03-23,145.0
2016-03-22,147.0
2016-03-21,149.25
2016-03-18,150.0
2016-03-17,143.0
2016-03-16,143.0
2016-03-15,143.0
2016-03-14,144.25
2016-03-11,147.0
2016-03-10,147.0
2016-03-09,146.5
2016-03-08,146.5
2016-03-07,146.0
2016-03-04,146.0
2016-03-03,144.0
2016-03-02,142.75
2016-03-01,143.25
2016-02-29,145.5
2016-02-26,143.0
2016-02-25,142.0
2016-02-24,140.5
2016-02-23,143.75
2016-02-22,148.0
2016-02-19,148.0
2016-02-18,147.25
2016-02-17,147.0
2016-02-16,146.0
2016-02-12,148.0
2016-02-11,148.0
2016-02-10,146.5
2016-02-09,146.5
2016-02-08,146.5
2016-02-05,146.5
2016-02-04,146.5
2016-02-03,145.0
2016-02-02,145.0
2016-02-01,145.0
2016-01-29,143.0
2016-01-28,143.0
2016-01-27,143.0
2016-01-26,143.0
2016-01-25,143.0
2016-01-22,149.0
2016-01-21,149.0
2016-01-20,149.5
2016-01-19,149.75
2016-01-15,152.5
2016-01-14,152.0
2016-01-13,152.0
2016-01-12,152.25
2016-01-11,153.5
2016-01-08,149.5
2016-01-07,149.5
2016-01-06,148.0
2016-01-05,148.0
2016-01-04,152.0
2015-12-31,153.0
2015-12-30,148.0
2015-12-29,147.0
2015-12-28,147.0
2015-12-24,143.0
2015-12-23,142.0
2015-12-22,142.0
2015-12-21,145.0
2015-12-18,145.0
2015-12-17,141.0
2015-12-16,141.0
2015-12-15,143.5
2015-12-14,144.0
2015-12-11,142.25
2015-12-10,148.75
2015-12-09,150.0
2015-12-08,150.0
2015-12-07,147.0
2015-12-04,148.5
2015-12-03,151.25
2015-12-02,149.5
2015-12-01,156.0
2015-11-30,154.0
2015-11-25,155.0
2015-11-24,153.25
2015-11-23,147.0
2015-11-20,150.25
2015-11-19,141.5
2015-11-18,142.25
2015-11-17,145.0
2015-11-16,144.0
2015-11-13,146.75
2015-11-12,149.0
2015-11-11,157.0
2015-11-10,159.0
2015-11-09,162.25
2015-11-06,165.0
2015-11-05,163.0
2015-11-04,162.75
2015-11-03,154.0
2015-11-02,157.0
2015-10-30,159.5
2015-10-29,157.0
2015-10-28,155.5
2015-10-27,152.25
2015-10-26,155.25
2015-10-23,155.0
2015-10-22,159.25
2015-10-21,160.25
2015-10-20,158.0
2015-10-19,159.0
2015-10-16,164.0
2015-10-15,164.0
2015-10-14,164.0
2015-10-13,165.25
2015-10-12,166.75
2015-10-09,162.0
2015-10-08,162.0
2015-10-07,162.0
2015-10-06,162.0
2015-10-05,173.0
2015-10-02,161.75
2015-10-01,156.25
2015-09-30,156.25
2015-09-29,155.0
2015-09-28,152.75
2015-09-25,155.0
2015-09-24,155.0
2015-09-23,146.0
2015-09-22,151.0
2015-09-21,152.5
2015-09-19,154.25
2015-09-18,154.25
2015-09-17,155.0
2015-09-16,154.0
2015-09-15,155.0
2015-09-14,158.25
2015-09-13,159.0
2015-09-12,159.0
2015-09-11,159.0
2015-09-10,165.5
2015-09-09,167.0
2015-09-08,167.0
2015-09-06,167.0
2015-09-05,167.0
2015-09-04,167.0
2015-09-03,167.0
2015-09-02,167.0
2015-09-01,167.0
2015-08-31,161.0
2015-08-30,160.0
2015-08-29,160.0
2015-08-28,160.0
2015-08-27,160.0
2015-08-26,160.0
2015-08-25,162.0
2015-08-24,163.0
2015-08-23,169.5
2015-08-21,169.5
2015-08-20,169.5
2015-08-19,166.0
2015-08-18,166.0
2015-08-17,165.75
2015-08-14,169.75
2015-08-13,169.75
2015-08-12,169.75
2015-08-11,170.25
2015-08-10,171.75
2015-08-07,173.25
2015-08-06,173.25
2015-08-05,167.5
2015-08-04,169.25
2015-08-03,169.0
2015-07-31,169.75
2015-07-30,171.0
2015-07-29,169.0
2015-07-28,164.0
2015-07-27,164.0
2015-07-24,166.0
2015-07-23,167.5
2015-07-22,164.5
2015-07-21,163.75
2015-07-20,158.0
2015-07-17,159.5
2015-07-16,159.5
2015-07-15,161.0
2015-07-14,163.0
2015-07-13,163.0
2015-07-10,166.0
2015-07-09,167.0
2015-07-08,159.0
2015-07-07,157.5
2015-07-06,157.5
2015-07-02,158.25
2015-07-01,160.0
2015-06-30,158.25
2015-06-29,160.0
2015-06-26,162.5
2015-06-25,164.5
2015-06-24,166.5
2015-06-23,165.5
2015-06-22,166.0
2015-06-19,166.0
2015-06-18,165.0
2015-06-17,166.5
2015-06-16,169.5
2015-06-15,169.5
2015-06-12,172.25
2015-06-11,177.5
2015-06-10,171.0
2015-06-09,167.25
2015-06-08,163.75
2015-06-05,164.25
2015-06-04,166.5
2015-06-03,170.0
2015-06-02,172.0
2015-06-01,170.5
2015-05-29,167.0
2015-05-28,165.0
2015-05-27,160.5
2015-05-26,161.0
2015-05-22,162.0
2015-05-21,161.75
2015-05-20,161.5
2015-05-19,161.25
2015-05-18,162.25
2015-05-15,162.25
2015-05-14,162.5
2015-05-13,161.0
2015-05-12,163.75
2015-05-11,162.5
2015-05-08,162.0
2015-05-07,161.25
2015-05-06,161.5
2015-05-05,161.5
2015-05-04,167.75
2015-05-01,161.75
2015-04-30,161.75
2015-04-29,161.75
2015-04-28,161.75
2015-04-27,162.0
2015-04-24,162.0
2015-04-23,162.0
2015-04-22,162.0
2015-04-21,162.5
2015-04-20,162.5
2015-04-17,162.5
2015-04-16,161.5
2015-04-15,161.5
2015-04-14,161.0
2015-04-13,161.0
2015-04-10,161.0
2015-04-09,161.0
2015-04-08,161.0
2015-04-07,161.0
2015-04-06,159.5
2015-04-03,159.5
2015-04-02,159.5
2015-04-01,159.5
2015-03-31,160.0
2015-03-30,156.5
2015-03-27,154.5
2015-03-26,152.0
2015-03-25,151.0
2015-03-24,151.0
2015-03-23,149.0
2015-03-20,152.0
2015-03-19,152.0
2015-03-18,156.0
2015-03-17,156.0
2015-03-16,154.5
2015-03-13,154.5
2015-03-12,154.5
2015-03-11,156.5
2015-03-10,154.5
2015-03-09,152.5
2015-03-06,149.5
2015-03-05,149.5
2015-03-04,149.25
2015-03-03,149.25
2015-03-02,149.25
2015-02-27,149.25
2015-02-26,148.5
2015-02-25,148.25
2015-02-24,148.25
2015-02-23,148.5
2015-02-20,148.5
2015-02-19,148.5
2015-02-18,148.5
2015-02-17,148.5
2015-02-13,148.5
2015-02-12,148.0
2015-02-11,148.0
2015-02-10,148.0
2015-02-09,148.25
2015-02-06,148.25
2015-02-05,148.5
2015-02-04,148.5
2015-02-03,148.75
2015-02-02,149.75
2015-01-30,150.5
2015-01-29,150.25
2015-01-28,147.5
2015-01-27,147.0
2015-01-26,145.0
2015-01-23,144.5
2015-01-22,145.0
2015-01-21,145.0
2015-01-20,144.5
2015-01-16,145.0
2015-01-15,146.0
2015-01-14,144.25
2015-01-13,159.5
2015-01-12,159.5
2015-01-09,154.5
2015-01-08,154.5
2015-01-07,154.5
2015-01-06,154.0
2015-01-05,154.0
2015-01-02,154.0
2014-12-31,153.0
2014-12-30,142.75
2014-12-29,142.0
2014-12-26,142.0
2014-12-24,147.0
2014-12-23,153.5
2014-12-22,156.5
2014-12-19,155.0
2014-12-18,158.75
2014-12-17,158.75
2014-12-16,157.75
2014-12-15,157.75
2014-12-12,151.0
2014-12-11,151.0
2014-12-10,147.5
2014-12-09,149.0
2014-12-08,152.25
2014-12-05,155.0
2014-12-04,155.0
2014-12-03,158.0
2014-12-02,158.75
2014-12-01,164.75
2014-11-26,164.75
2014-11-25,170.5
2014-11-24,172.0
2014-11-21,174.0
2014-11-20,175.0
2014-11-19,191.5
2014-11-18,191.5
2014-11-17,191.5
2014-11-14,191.5
2014-11-13,191.5
2014-11-12,193.75
2014-11-11,194.75
2014-11-10,212.0
2014-11-07,212.0
2014-11-06,214.5
2014-11-05,216.0
2014-11-04,211.0
2014-11-03,211.0
2014-10-31,211.0
2014-10-30,206.5
2014-10-29,206.5
2014-10-28,201.0
2014-10-27,192.25
2014-10-24,192.25
2014-10-23,199.0
2014-10-22,207.0
2014-10-21,203.5
2014-10-20,210.75
2014-10-17,207.0
2014-10-16,209.0
2014-10-15,209.5
2014-10-14,216.5
2014-10-13,210.0
2014-10-10,210.0
2014-10-09,210.0
2014-10-08,210.0
2014-10-07,210.0
2014-10-06,217.0
2014-10-03,217.0
2014-10-02,210.0
2014-10-01,214.0
2014-09-30,222.5
2014-09-29,222.5
2014-09-26,230.0
2014-09-25,249.0
2014-09-24,249.0
2014-09-23,249.0
2014-09-22,249.0
2014-09-19,243.0
2014-09-18,242.25
2014-09-17,242.25
2014-09-16,240.5
2014-09-15,236.0
2014-09-12,233.5
2014-09-11,233.0
2014-09-10,233.0
2014-09-09,233.0
2014-09-08,232.5
2014-09-05,232.5
2014-09-04,230.5
2014-09-03,230.0
2014-09-02,236.25
2014-08-29,234.5
2014-08-28,232.5
2014-08-27,230.0
2014-08-26,230.0
2014-08-25,226.0
2014-08-22,226.0
2014-08-21,225.75
2014-08-20,225.0
2014-08-19,221.0
2014-08-18,221.0
2014-08-15,221.0
2014-08-14,219.5
2014-08-13,216.0
2014-08-12,215.0
2014-08-11,213.5
2014-08-08,212.25
2014-08-07,212.25
2014-08-06,210.75
2014-08-05,210.25
2014-08-04,209.0
2014-08-01,200.0
2014-07-31,198.75
2014-07-30,194.75
2014-07-29,194.75
2014-07-28,194.75
2014-07-25,195.25
2014-07-24,199.75
2014-07-23,203.25
2014-07-22,207.0
2014-07-21,207.0
2014-07-18,207.0
2014-07-17,206.0
2014-07-16,204.0
2014-07-15,203.25
2014-07-14,200.5
2014-07-11,198.75
2014-07-10,196.0
2014-07-09,194.5
2014-07-08,194.5
2014-07-07,198.5
2014-07-03,198.5
2014-07-02,198.5
2014-07-01,198.25
2014-06-30,201.0
2014-06-27,201.0
2014-06-26,205.0
2014-06-25,204.25
2014-06-24,203.25
2014-06-23,201.5
2014-06-20,201.0
2014-06-19,200.5
2014-06-18,200.25
2014-06-17,198.75
2014-06-16,196.0
2014-06-13,196.75
2014-06-12,195.75
2014-06-11,195.75
2014-06-10,197.0
2014-06-09,197.25
2014-06-06,196.75
2014-06-05,196.75
2014-06-04,194.5
2014-06-03,193.5
2014-06-02,193.25
2014-05-30,193.25
2014-05-29,192.0
2014-05-28,194.5
2014-05-27,203.25
2014-05-23,202.0
2014-05-22,202.0
2014-05-21,196.0
2014-05-20,196.0
2014-05-19,196.0
2014-05-16,196.0
2014-05-15,196.0
2014-05-14,196.0
2014-05-13,196.0
2014-05-12,202.0
2014-05-09,202.0
2014-05-08,205.25
2014-05-07,203.75
2014-05-06,203.75
2014-05-05,205.5
2014-05-02,205.5
2014-05-01,210.0
2014-04-30,213.0
2014-04-29,217.0
2014-04-28,217.0
2014-04-25,218.0
2014-04-24,218.0
2014-04-23,221.75
2014-04-22,223.0
2014-04-21,225.0
2014-04-17,225.75
2014-04-16,218.75
2014-04-15,216.75
2014-04-14,216.75
2014-04-11,208.0
2014-04-10,207.5
2014-04-09,207.5
2014-04-08,215.0
2014-04-07,222.5
2014-04-04,222.5
2014-04-03,223.0
2014-04-02,225.0
2014-04-01,225.0
2014-03-31,225.0
2014-03-28,229.0
2014-03-27,232.0
2014-03-26,233.0
2014-03-25,236.0
2014-03-24,237.75
2014-03-21,231.0
