Date,Value
2016-11-29,92.0
2016-11-28,92.0
2016-11-23,90.25
2016-11-22,90.25
2016-11-21,90.25
2016-11-17,87.75
2016-11-16,87.75
2016-11-15,87.75
2016-11-14,87.75
2016-11-11,86.0
2016-11-10,86.0
2016-11-09,86.0
2016-11-08,86.0
2016-11-07,86.0
2016-11-04,85.5
2016-11-03,85.5
2016-11-02,85.5
2016-11-01,85.5
2016-10-31,85.5
2016-10-28,87.75
2016-10-27,87.75
2016-10-26,87.75
2016-10-25,87.75
2016-10-24,87.75
2016-10-21,88.25
2016-10-20,88.25
2016-10-19,88.25
2016-10-18,88.25
2016-10-17,88.25
2016-10-14,89.0
2016-10-13,89.0
2016-10-12,89.0
2016-10-11,89.0
2016-10-10,89.0
2016-10-07,93.0
2016-10-06,93.0
2016-10-05,93.0
2016-09-30,94.5
2016-09-29,94.5
2016-09-28,94.5
2016-09-27,94.5
2016-09-26,94.5
2016-09-23,92.0
2016-09-22,92.0
2016-09-21,92.0
2016-09-20,92.0
2016-09-16,90.5
2016-09-15,90.5
2016-09-14,90.5
2016-09-13,90.5
2016-09-12,90.5
2016-09-09,91.0
2016-09-08,91.0
2016-09-07,91.0
2016-09-06,91.0
2016-09-02,85.5
2016-09-01,85.5
2016-08-31,85.5
2016-08-30,85.5
2016-08-29,85.5
2016-08-26,85.25
2016-08-25,85.25
2016-08-24,85.25
2016-08-23,85.25
2016-08-22,85.25
2016-08-19,82.5
2016-08-18,82.5
2016-08-17,82.5
2016-08-16,82.5
2016-08-15,82.5
2016-08-12,83.25
2016-08-11,83.25
2016-08-10,83.25
2016-08-09,83.25
2016-08-08,83.25
2016-08-05,84.25
2016-08-04,84.25
2016-08-03,84.25
2016-08-02,84.25
2016-08-01,84.25
2016-07-29,84.5
2016-07-28,84.5
2016-07-27,84.5
2016-07-26,84.5
2016-07-25,84.5
2016-07-22,87.0
2016-07-21,87.0
2016-07-20,87.0
2016-07-19,87.0
2016-07-18,87.0
2016-07-15,89.75
2016-07-14,89.75
2016-07-08,87.5
2016-07-07,87.5
2016-07-06,87.5
2016-07-05,87.5
2016-07-01,89.25
2016-06-30,89.25
2016-06-29,89.25
2016-06-28,89.25
2016-06-27,89.25
2016-06-24,86.75
2016-06-23,86.75
2016-06-22,86.75
2016-06-21,86.75
2016-06-20,86.75
2016-06-17,85.0
2016-06-16,85.0
2016-06-15,85.0
2016-06-14,85.0
2016-06-13,85.0
2016-06-10,79.0
2016-06-09,79.0
2016-06-08,79.0
2016-06-07,79.0
2016-06-03,78.0
2016-06-02,78.0
2016-06-01,78.0
2016-05-31,78.0
2016-05-27,80.0
2016-05-25,80.0
2016-05-23,80.0
2016-05-20,81.0
2016-05-19,81.0
2016-05-18,81.0
2016-05-17,81.0
2016-05-16,81.0
2016-05-13,80.0
2016-05-12,80.0
2016-05-11,80.0
2016-05-10,80.0
2016-05-09,80.0
2016-05-06,74.75
2016-05-05,74.75
2016-05-04,74.75
2016-05-03,74.75
2016-05-02,74.75
2016-04-29,76.0
2016-04-28,76.0
2016-04-27,76.0
2016-04-26,76.0
2016-04-25,76.0
2016-04-22,73.5
2016-04-21,73.5
2016-04-20,73.5
2016-04-19,73.5
2016-04-18,73.5
2016-04-15,69.75
2016-04-14,69.75
2016-04-13,69.75
2016-04-12,69.75
2016-04-11,69.75
2016-04-08,71.75
2016-04-07,71.75
2016-04-06,71.75
2016-04-05,71.75
2016-04-04,71.75
2016-04-01,71.5
2016-03-30,72.0
2016-03-29,73.0
2016-03-28,73.0
2016-03-24,73.0
2016-03-23,73.0
2016-03-22,74.0
2016-03-21,74.0
2016-03-18,73.0
2016-03-17,74.0
2016-03-16,74.0
2016-03-15,74.0
2016-03-14,75.0
2016-03-11,77.0
2016-03-10,75.0
2016-03-09,75.0
2016-03-08,74.0
2016-03-07,74.0
2016-03-04,74.0
2016-03-03,78.0
2016-03-02,78.0
2016-03-01,77.0
2016-02-29,77.0
2016-02-26,76.0
2016-02-25,75.0
2016-02-24,75.0
2016-02-23,75.0
2016-02-22,75.0
2016-02-19,74.0
2016-02-18,74.0
2016-02-17,75.0
2016-02-16,76.0
2016-02-12,74.0
2016-02-11,76.0
2016-02-10,75.0
2016-02-09,73.0
2016-02-08,75.0
2016-02-05,75.0
2016-02-04,74.0
2016-02-03,71.0
2016-02-02,70.0
2016-02-01,71.0
2016-01-29,72.0
2016-01-28,72.0
2016-01-27,72.0
2016-01-26,71.0
2016-01-25,71.0
2016-01-22,71.0
2016-01-21,71.0
2016-01-20,74.0
2016-01-19,74.0
2016-01-15,75.0
2016-01-14,74.0
2016-01-13,74.0
2016-01-12,74.0
2016-01-11,73.0
2016-01-08,74.0
2016-01-07,74.0
2016-01-06,74.0
2016-01-05,75.0
2016-01-04,76.0
2015-12-31,76.0
2015-12-30,75.0
2015-12-29,74.0
2015-12-28,75.0
2015-12-24,76.0
2015-12-23,76.0
2015-12-22,76.0
2015-12-21,76.0
2015-12-18,77.0
2015-12-17,78.0
2015-12-16,78.0
2015-12-15,77.0
2015-12-14,79.0
2015-12-11,77.0
2015-12-10,76.0
2015-12-09,75.0
2015-12-08,75.0
2015-12-07,78.0
2015-12-04,79.0
2015-12-03,81.0
2015-12-02,80.0
2015-12-01,78.0
2015-11-30,74.0
2015-11-25,73.0
2015-11-24,73.0
2015-11-23,73.0
2015-11-20,74.0
2015-11-19,77.0
2015-11-18,78.0
2015-11-17,78.0
2015-11-16,79.0
2015-11-13,80.0
2015-11-12,81.0
2015-11-11,81.0
2015-11-10,81.0
2015-11-09,81.0
2015-11-06,81.0
2015-11-05,81.0
2015-11-04,81.0
2015-11-03,80.0
2015-11-02,82.0
2015-10-30,81.0
2015-10-29,81.0
2015-10-28,82.0
2015-10-27,85.0
2015-10-26,85.0
2015-10-23,85.0
2015-10-22,86.0
2015-10-21,84.5
2015-10-20,86.0
2015-10-19,88.25
2015-10-16,89.0
2015-10-15,93.0
2015-10-14,98.0
2015-10-13,99.5
2015-10-12,99.5
2015-10-09,99.5
2015-10-08,100.75
2015-10-07,103.5
2015-10-06,107.0
2015-10-05,110.0
2015-10-02,106.0
2015-10-01,96.0
2015-09-30,96.0
2015-09-29,94.0
2015-09-28,94.0
2015-09-25,94.0
2015-09-24,98.0
2015-09-23,98.0
2015-09-22,96.0
2015-09-21,91.0
2015-09-19,91.0
2015-09-18,91.0
2015-09-17,91.0
2015-09-16,90.0
2015-09-15,90.0
2015-09-14,87.0
2015-09-13,87.0
2015-09-12,87.0
2015-09-11,87.0
2015-09-10,88.0
2015-09-09,88.0
2015-09-08,87.0
2015-09-06,90.0
2015-09-05,90.0
2015-09-04,90.0
2015-09-03,87.0
2015-09-02,82.0
2015-09-01,82.0
2015-08-31,78.0
2015-08-30,77.0
2015-08-29,77.0
2015-08-28,77.0
2015-08-27,81.0
2015-08-26,79.0
2015-08-25,78.0
2015-08-24,76.0
2015-08-23,79.0
2015-08-21,79.0
2015-08-20,77.0
2015-08-19,77.0
2015-08-18,71.0
2015-08-17,71.0
2015-08-14,69.0
2015-08-13,70.0
2015-08-12,69.0
2015-08-11,69.0
2015-08-10,69.0
2015-08-07,69.0
2015-08-06,69.0
2015-08-05,72.0
2015-08-04,71.0
2015-08-03,70.0
2015-07-31,70.0
2015-07-30,70.0
2015-07-29,72.0
2015-07-28,71.0
2015-07-27,71.0
2015-07-24,71.0
2015-07-23,71.0
2015-07-22,74.0
2015-07-21,75.0
2015-07-20,76.0
2015-07-17,76.0
2015-07-16,78.0
2015-07-15,75.0
2015-07-14,80.0
2015-07-13,80.0
2015-07-10,80.0
2015-07-09,81.0
2015-07-08,82.0
2015-07-07,82.0
2015-07-06,82.0
2015-07-02,83.0
2015-07-01,83.0
2015-06-30,83.0
2015-06-29,83.0
2015-06-26,83.0
2015-06-25,81.0
2015-06-24,84.0
2015-06-23,84.0
2015-06-22,86.0
2015-06-19,88.0
2015-06-18,87.0
2015-06-17,88.0
2015-06-16,90.0
2015-06-15,90.0
2015-06-12,90.0
2015-06-11,92.0
2015-06-10,92.0
2015-06-09,90.0
2015-06-08,89.0
2015-06-05,88.0
2015-06-04,88.0
2015-06-03,88.0
2015-06-02,88.0
2015-06-01,91.0
2015-05-29,91.0
2015-05-28,89.0
2015-05-27,89.0
2015-05-26,89.0
2015-05-22,90.0
2015-05-21,92.0
2015-05-20,91.0
2015-05-19,90.0
2015-05-18,90.0
2015-05-15,90.0
2015-05-14,91.0
2015-05-13,95.0
2015-05-12,96.0
2015-05-11,96.0
2015-05-08,96.0
2015-05-07,95.0
2015-05-06,95.0
2015-05-05,95.0
2015-05-04,95.0
2015-05-01,94.0
2015-04-30,94.0
2015-04-29,93.0
2015-04-28,93.0
2015-04-27,93.0
2015-04-24,93.0
2015-04-23,93.0
2015-04-22,93.0
2015-04-21,93.0
2015-04-20,93.0
2015-04-17,93.0
2015-04-16,93.0
2015-04-15,93.0
2015-04-14,93.0
2015-04-13,93.0
2015-04-10,93.0
2015-04-09,95.0
2015-04-08,97.0
2015-04-07,99.0
2015-04-06,98.0
2015-04-03,98.0
2015-04-02,98.0
2015-04-01,98.0
2015-03-31,98.0
2015-03-30,98.0
2015-03-27,98.0
2015-03-26,98.0
2015-03-25,98.0
2015-03-24,98.0
2015-03-23,98.0
2015-03-20,98.0
2015-03-19,99.0
2015-03-18,99.0
2015-03-17,99.0
2015-03-16,99.0
2015-03-13,101.0
2015-03-12,100.0
2015-03-11,100.0
2015-03-10,103.0
2015-03-09,103.0
2015-03-06,103.0
2015-03-05,105.0
2015-03-04,110.0
2015-03-03,113.0
2015-03-02,116.0
2015-02-27,116.0
2015-02-26,109.0
2015-02-25,110.0
2015-02-24,108.0
2015-02-23,110.0
2015-02-20,111.0
2015-02-19,115.0
2015-02-18,120.0
2015-02-17,117.0
2015-02-13,115.0
2015-02-12,114.0
2015-02-11,113.0
2015-02-10,109.0
2015-02-09,110.0
2015-02-06,110.0
2015-02-05,106.0
2015-02-04,106.0
2015-02-03,105.0
2015-02-02,101.0
2015-01-30,107.0
2015-01-29,107.0
2015-01-28,104.0
2015-01-27,100.0
2015-01-26,99.0
2015-01-23,98.0
2015-01-22,96.0
2015-01-21,95.0
2015-01-20,95.0
2015-01-16,95.0
2015-01-15,95.0
2015-01-14,96.0
2015-01-13,97.0
2015-01-12,99.0
2015-01-09,99.0
2015-01-08,100.0
2015-01-07,100.0
2015-01-06,100.0
2015-01-05,100.0
2015-01-02,100.0
2014-12-31,100.0
2014-12-30,100.0
2014-12-29,100.0
2014-12-26,100.0
2014-12-24,100.0
2014-12-23,100.0
2014-12-22,100.0
2014-12-19,100.0
2014-12-18,99.0
2014-12-17,100.0
2014-12-16,101.0
2014-12-15,106.0
2014-12-12,109.0
2014-12-11,110.0
2014-12-10,110.0
2014-12-09,111.0
2014-12-08,111.0
2014-12-05,111.0
2014-12-04,111.0
2014-12-03,111.0
2014-12-02,111.0
2014-12-01,112.0
2014-11-26,112.0
2014-11-25,112.0
2014-11-24,114.0
2014-11-21,114.0
2014-11-20,114.0
2014-11-19,118.0
2014-11-18,118.0
2014-11-17,119.0
2014-11-14,118.0
2014-11-13,118.0
2014-11-12,118.0
2014-11-11,118.0
2014-11-10,117.0
2014-11-07,116.0
2014-11-06,118.0
2014-11-05,120.0
2014-11-04,124.0
2014-11-03,124.0
2014-10-31,124.0
2014-10-30,124.0
2014-10-29,124.0
2014-10-28,124.0
2014-10-27,124.0
2014-10-24,125.0
2014-10-23,129.0
2014-10-22,131.0
2014-10-21,131.0
2014-10-20,132.0
2014-10-17,138.0
2014-10-16,138.0
2014-10-15,138.0
2014-10-14,138.0
2014-10-13,138.0
2014-10-10,138.0
2014-10-09,138.0
2014-10-08,138.0
2014-10-07,139.0
2014-10-06,140.0
2014-10-03,140.0
2014-10-02,140.0
2014-10-01,140.0
2014-09-30,140.0
2014-09-29,140.0
2014-09-26,140.0
2014-09-25,139.0
2014-09-24,139.0
2014-09-23,139.0
2014-09-22,138.0
2014-09-19,138.0
2014-09-18,136.0
2014-09-17,134.0
2014-09-16,134.0
2014-09-15,135.0
2014-09-12,134.0
2014-09-11,133.0
2014-09-10,133.0
2014-09-09,133.0
2014-09-08,133.0
2014-09-05,133.0
2014-09-04,133.0
2014-09-03,133.0
2014-09-02,133.0
2014-08-29,133.0
2014-08-28,133.0
2014-08-27,132.0
2014-08-26,130.0
2014-08-25,130.0
2014-08-22,130.0
2014-08-21,133.0
2014-08-20,135.0
2014-08-19,137.0
2014-08-18,138.0
2014-08-15,140.0
2014-08-14,142.0
2014-08-13,149.0
2014-08-12,150.0
2014-08-11,152.0
2014-08-08,154.0
2014-08-07,156.0
2014-08-06,157.0
2014-08-05,159.0
2014-08-04,164.0
2014-08-01,165.0
2014-07-31,165.0
2014-07-30,168.0
2014-07-29,168.0
2014-07-28,168.0
2014-07-25,168.0
2014-07-24,168.0
2014-07-23,168.0
2014-07-22,168.0
2014-07-21,168.0
2014-07-18,170.0
2014-07-17,172.0
2014-07-16,174.0
2014-07-15,174.0
2014-07-14,174.0
2014-07-11,174.0
2014-07-10,174.0
2014-07-09,177.0
2014-07-08,177.0
2014-07-07,177.0
2014-07-03,177.0
2014-07-02,177.0
2014-07-01,177.0
2014-06-30,178.0
2014-06-27,181.0
2014-06-26,181.0
2014-06-25,183.0
2014-06-24,183.0
2014-06-23,183.0
2014-06-20,183.0
2014-06-19,183.0
2014-06-18,183.0
2014-06-17,183.0
2014-06-16,183.0
2014-06-13,183.0
2014-06-12,186.0
2014-06-11,186.0
2014-06-10,186.0
2014-06-09,186.0
2014-06-06,186.0
2014-06-05,186.0
2014-06-04,186.0
2014-06-03,186.0
2014-06-02,185.0
2014-05-30,185.0
2014-05-29,183.0
2014-05-28,182.0
2014-05-27,180.0
2014-05-23,179.0
2014-05-22,179.0
2014-05-21,179.0
2014-05-20,179.0
2014-05-19,179.0
2014-05-16,179.0
2014-05-15,178.0
2014-05-14,178.0
2014-05-13,178.0
2014-05-12,178.0
2014-05-09,178.0
2014-05-08,179.0
2014-05-07,178.0
2014-05-06,178.0
2014-05-05,178.0
2014-05-02,178.0
2014-05-01,179.0
2014-04-30,179.0
2014-04-29,180.0
2014-04-28,181.0
2014-04-25,181.0
2014-04-24,186.0
2014-04-23,186.0
2014-04-22,186.0
2014-04-21,186.0
2014-04-17,187.0
2014-04-16,189.0
2014-04-15,191.0
2014-04-14,191.0
2014-04-11,191.0
2014-04-10,190.0
2014-04-09,189.0
2014-04-08,200.0
2014-04-07,200.0
2014-04-04,200.0
2014-04-03,200.0
2014-04-02,200.0
2014-04-01,200.0
2014-03-31,203.0
2014-03-28,203.0
2014-03-27,202.0
2014-03-26,202.0
2014-03-25,200.0
2014-03-24,202.0
2014-03-21,205.0
2014-03-20,204.0
2014-03-19,204.0
2014-03-18,204.0
2014-03-17,204.0
2014-03-14,204.0
2014-03-13,204.0
2014-03-12,204.0
2014-03-11,204.0
2014-03-10,204.0
2014-03-07,204.0
2014-03-06,204.0
2014-03-05,203.0
2014-03-04,203.0
2014-03-03,203.0
2014-02-28,204.0
2014-02-27,204.0
2014-02-26,203.0
2014-02-25,207.0
2014-02-24,205.0
2014-02-21,205.0
2014-02-20,205.0
2014-02-19,204.0
2014-02-18,203.0
2014-02-14,202.0
2014-02-13,202.0
2014-02-12,206.0
2014-02-11,205.0
2014-02-10,202.0
2014-02-07,202.0
2014-02-06,202.0
2014-02-05,200.0
2014-02-04,200.0
2014-02-03,204.0
2014-01-31,204.0
2014-01-30,206.0
2014-01-29,205.0
2014-01-28,208.0
2014-01-27,205.0
2014-01-24,209.0
2014-01-23,209.0
2014-01-22,209.0
2014-01-21,209.0
2014-01-17,208.0
2014-01-16,207.0
2014-01-15,207.0
2014-01-14,208.0
2014-01-13,208.0
2014-01-10,208.0
2014-01-09,209.0
2014-01-08,209.0
2014-01-07,209.0
2014-01-06,209.0
2014-01-03,209.0
2014-01-02,209.0
2013-12-31,209.0
2013-12-30,209.0
2013-12-27,209.0
2013-12-26,209.0
2013-12-24,209.0
2013-12-23,209.0
2013-12-20,209.0
2013-12-19,209.0
2013-12-18,209.0
2013-12-17,209.0
2013-12-16,206.0
2013-12-13,205.0
2013-12-12,204.0
2013-12-11,204.0
2013-12-10,204.0
2013-12-09,202.0
2013-12-06,202.0
2013-12-05,201.0
2013-12-04,200.0
2013-12-03,200.0
2013-12-02,198.0
2013-11-29,198.0
2013-11-27,198.0
2013-11-26,198.0
2013-11-25,198.0
2013-11-22,198.0
2013-11-21,197.0
2013-11-20,197.0
2013-11-19,197.0
2013-11-18,197.0
2013-11-15,190.0
2013-11-14,190.0
2013-11-13,187.0
2013-11-12,187.0
2013-11-11,187.0
2013-11-08,187.0
2013-11-07,187.0
