Date,Value
2016-11-29,328.7
2016-11-28,334.4
2016-11-23,324.9
2016-11-22,333.4
2016-11-21,328.2
2016-11-17,320.0
2016-11-16,317.4
2016-11-15,319.1
2016-11-14,318.9
2016-11-10,320.4
2016-11-09,320.4
2016-11-08,324.7
2016-11-07,320.9
2016-11-04,318.0
2016-11-03,315.4
2016-11-02,318.2
2016-11-01,321.0
2016-10-31,327.6
2016-10-28,329.0
2016-10-27,339.1
2016-10-26,330.6
2016-10-25,319.7
2016-10-24,318.8
2016-10-21,318.0
2016-10-20,316.1
2016-10-19,320.9
2016-10-18,320.4
2016-10-17,320.5
2016-10-14,319.6
2016-10-13,322.8
2016-10-12,317.0
2016-10-11,320.8
2016-10-07,320.7
2016-10-06,321.1
2016-10-05,323.4
2016-10-03,334.9
2016-09-30,326.9
2016-09-29,325.9
2016-09-28,327.7
2016-09-27,328.3
2016-09-26,326.6
2016-09-23,332.3
2016-09-22,336.9
2016-09-21,337.7
2016-09-20,349.6
2016-09-16,349.2
2016-09-15,344.1
2016-09-14,342.6
2016-09-13,344.3
2016-09-12,350.3
2016-09-09,355.3
2016-09-08,349.6
2016-09-07,338.3
2016-09-06,332.1
2016-09-02,326.2
2016-09-01,325.6
2016-08-31,324.7
2016-08-30,326.3
2016-08-29,332.0
2016-08-26,333.7
2016-08-25,337.3
2016-08-24,344.5
2016-08-23,345.4
2016-08-22,347.2
2016-08-19,343.0
2016-08-18,347.4
2016-08-17,349.7
2016-08-16,349.7
2016-08-15,352.6
2016-08-12,345.0
2016-08-11,341.4
2016-08-10,341.5
2016-08-09,343.8
2016-08-08,343.4
2016-08-05,341.9
2016-08-04,335.5
2016-08-03,337.0
2016-08-02,334.9
2016-08-01,340.5
2016-07-29,356.5
2016-07-28,348.5
2016-07-27,351.3
2016-07-26,347.9
2016-07-25,345.4
2016-07-22,353.2
2016-07-21,359.0
2016-07-20,358.9
2016-07-19,366.2
2016-07-18,379.5
2016-07-15,375.9
2016-07-14,379.7
2016-07-13,394.6
2016-07-12,385.2
2016-07-11,379.1
2016-07-08,382.8
2016-07-07,373.7
2016-07-06,389.9
2016-07-05,390.7
2016-07-01,411.7
2016-06-30,413.3
